FECHALECTURA,Altos De La Estancia,COLEGIO CARLO FEDERICI I.E.D.,COLEGIO LA FELICIDAD I.E.D.,COLEGIO MAGDALENA ORTEGA DE N,COLEGIO SIMÓN RODRÍGUEZ SEDE ,COLEGIO UNIÓN COLOMBIA SEDE A,COLMAC,Casas Fiscales de la Artiller,Cerro Cazadores,Cerro Norte,Colegio 21 Angeles,Colegio Alemania Unificada,Colegio Antonio García,Colegio Carlos Pizarro,Colegio Ciudad de Villavicenc,Colegio Eduardo Umaña,Colegio El Manantial,Colegio El Tesoro De La Cumbr,Colegio Francisco I,Colegio Friedrich Naumann,Colegio Gabriel Garcia Marque,Colegio Gustavo Restrepo,Colegio La Chucua,Colegio Los Alpes,Colegio Los Pinos,Colegio Manuel Elkin Patarroy,Colegio Moralba,Colegio Nueva Zelandia,Colegio Ofelia Uribe,Colegio Paulo Freire,Colegio Rafael Uribe Uribe,Colegio Rodolfo Llinas,Colegio Sierra Morena,Doña Juana,El Codito,Escuela Pedagógica Experiment,Fundación Educacional Ana Res,Gran Bretaña,Guadalupe,I.E.D. ALBERTO LLERAS CAMARGO,I.E.D. SORRENTO (Sede B San R,IDIGER,IED AGUSTÍN FERNÁNDEZ,IED GUSTAVO MORALES MORALES,IED INEM FRANCISCO DE PAULA S,IED LA BELLEZA,Independencia ,Juan Rey,Kennedy,La Esperanza,La Fiscala,La Union,Micaela,Molinos,Paraiso,Pasquilla,Quiba,San Benito,San Francisco,UAN Circunvalar,UAN Usme,Vitelma
2022-04-23 00:00:00.0,0,0.4,0.6,1.3,58.4,0.5,2.8,0.3,67.3,4.9,1.1,0.95,0,0.3,0.4,0.6,1.2,0.6,18.6,4.3,1,0.47,0.03,1.2,1.9,7.3,1.4,0,0.5,1.1,0.03,0.1,0,5.1,0.2,59.9,5,14.3,6.7,0.01,0.2,2.6,2.2,2.3,0,0.4,0.3,0.2,0.1,4.4,0.1,12.2,0.7,0.5,45.7,0.7,0,0.7,0.1,70.6,1.8,1.2
2022-04-24 00:00:00.0,2.4,1.5,11.7,9.8,47.2,23.5,2.7,6.5,13.9,20.9,16.4,18.54,9.8,0.5,25.3,28.9,37.4,30,45.1,38.8,35.2,10.75,8.24,45.2,13.2,25.2,59,12,35.7,24.4,4.48,8,0.9,12,23.2,22.1,21.4,25.8,17.3,12.18,11.2,23.4,18.8,14.8,3.42,41.7,0,46.3,2,20.2,37,8.3,35.7,10.3,35.9,13.6,15.7,3.4,1.4,37.2,13.1,11
2022-04-25 00:00:00.0,4.3,4.4,3.7,3.2,4.1,3.4,14.8,6.1,5.6,4.8,3.4,4.07,4.4,3.4,8.5,5.3,5.5,6,4,3.9,7,4.31,4.59,5.4,4.7,3.6,6.6,4.2,5.5,5.5,4.92,2.6,3.6,5.3,4.9,6.1,5.3,9.4,5.6,2.38,4.7,3.3,3.9,3,4.93,5.2,3.5,7.7,3.9,15.2,3.5,9.8,11.2,4.2,4.7,6.9,6.6,5.2,4.9,3.8,4.4,4.9
Número de Registros,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
